mean_time,time,is_average
500.0,254589833,no
500.0,7783698,no
500.0,213602946,no
500.0,224814492,no
500.0,86576569,no
500.0,143912968,no
500.0,276736193,no
500.0,184025127,no
500.0,577153024,no
500.0,46536782,no
500.0,292824218,no
500.0,179337470,no
500.0,582295077,no
500.0,298933165,no
500.0,63076783,no
500.0,540204001,no
500.0,97373806,no
500.0,212763985,no
500.0,394000561,no
500.0,203120535,no
500.0,365859400,no
500.0,21595019,no
500.0,88792731,no
500.0,226502444,no
500.0,42955445,no
500.0,127830024,no
500.0,61544250,no
500.0,105950318,no
500.0,292002540,no
500.0,262414812,no
500.0,34763280,no
500.0,163056844,no
500.0,78083043,no
500.0,24407164,no
500.0,51645467,no
500.0,73845105,no
500.0,187705217,yes
700.0,159097716,no
700.0,189810000,no
700.0,242068096,no
700.0,92621672,no
700.0,22576533,no
700.0,367038506,no
700.0,122905888,no
700.0,204124914,no
700.0,91308592,no
700.0,180816762,no
700.0,58454172,no
700.0,55166855,no
700.0,271032747,no
700.0,305853230,no
700.0,231020660,no
700.0,303459928,no
700.0,44045162,no
700.0,287356938,no
700.0,154982849,no
700.0,236118564,no
700.0,206480517,no
700.0,438669850,no
700.0,78526343,no
700.0,64731256,no
700.0,162510130,no
700.0,301070927,no
700.0,196984422,no
700.0,61532865,no
700.0,37712340,no
700.0,132118348,no
700.0,48899100,no
700.0,80813184,no
700.0,144749643,no
700.0,26815074,no
700.0,57686961,no
700.0,145929680,no
700.0,61910298,no
700.0,50647873,no
700.0,175560631,no
700.0,194187163,no
700.0,233237618,no
700.0,153279201,no
700.0,34952561,no
700.0,208190612,no
700.0,236498568,no
700.0,48979427,no
700.0,79618620,no
700.0,41707938,no
700.0,56443647,no
700.0,147708808,no
700.0,150560267,yes
1000.0,152532307,no
1000.0,271152209,no
1000.0,13830966,no
1000.0,214127888,no
1000.0,205523340,no
1000.0,162003283,no
1000.0,70472616,no
1000.0,167287660,no
1000.0,258043558,no
1000.0,385215464,no
1000.0,367767578,no
1000.0,231854215,no
1000.0,162051197,no
1000.0,162547039,no
1000.0,215691271,no
1000.0,31165384,no
1000.0,227039487,no
1000.0,90729109,no
1000.0,45446029,no
1000.0,210466789,no
1000.0,82029047,no
1000.0,17519633,no
1000.0,290653614,no
1000.0,293706916,no
1000.0,289494901,no
1000.0,120812384,no
1000.0,287952592,no
1000.0,288024323,no
1000.0,326030974,no
1000.0,340188671,no
1000.0,262299532,no
1000.0,29080542,no
1000.0,41763510,no
1000.0,42291790,no
1000.0,43902363,no
1000.0,129088481,no
1000.0,266599006,no
1000.0,133676204,no
1000.0,68066608,no
1000.0,13158024,no
1000.0,162293144,no
1000.0,117166524,no
1000.0,100717814,no
1000.0,68800476,no
1000.0,86817545,no
1000.0,166554626,no
1000.0,203613673,no
1000.0,71127066,no
1000.0,169416830,no
1000.0,25915852,no
1000.0,163674201,yes
